Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,mapped_sentiment
Exploring the world of virtual reality.,Positive,VRExplorer,Facebook,#VR #VirtualReality,15,30,USA,2023,Jan,positive
Productive day ticking off my to-do list.,Positive,ProductivityPro,Instagram,#Productivity #WorkFromHome,30,60,USA,2023,Jan,positive
Just finished a challenging workout routine.,Positive,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20,40,UK,2023,Jan,positive
Celebrating a milestone at work! 🎉,Positive,CareerMilestone,Facebook,#Career #Milestone,12,25,Canada,2023,Jan,positive
Sunday brunch with friends.,Positive,BrunchBuddy,Instagram,#Brunch #Friends,15,30,UK,2023,Jan,positive
Learning a new language for personal growth.,Positive,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25,50,India,2023,Jan,positive
Quiet evening with a good book.,Positive,BookLover,Instagram,#Reading #QuietTime,15,30,Australia,2023,Jan,positive
Reflecting on the importance of mental health.,Positive,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22,45,USA,2023,Jan,positive
New painting in progress! 🎨,Positive,ArtistInAction,Facebook,#Art #PaintingInProgress,12,25,Canada,2023,Jan,positive
Weekend road trip to explore scenic views.,Positive,RoadTripper,Instagram,#RoadTrip #ScenicViews,18,35,UK,2023,Jan,positive
Enjoying a cup of tea and watching the sunset.,Positive,SunsetWatcher,Twitter,#TeaTime #Sunset,15,30,India,2023,Jan,positive
Coding a new project with enthusiasm.,Positive,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30,60,USA,2023,Jan,positive
Feeling inspired after attending a workshop.,Positive,WorkshopAttendee,Instagram,#Inspiration #Workshop,25,50,USA,2023,Jan,positive
Winter sports day at the local park.,Positive,WinterSports,Twitter,#WinterSports #Fun,15,30,Canada,2023,Jan,positive
Quality time with family this weekend.,Positive,FamilyTime,Facebook,#FamilyTime #Weekend,22,45,UK,2023,Jan,positive
Attending a live music concert tonight.,Positive,MusicLover,Instagram,#Music #ConcertNight,18,35,USA,2023,Jan,positive
Practicing mindfulness with meditation.,Positive,MindfulMoments,Twitter,#Mindfulness #Meditation,15,30,India,2023,Jan,positive
Trying out a new dessert recipe.,Positive,DessertExplorer,Facebook,#Dessert #Cooking,12,25,Canada,2023,Jan,positive
Excited about the upcoming gaming tournament.,Positive,GamingEnthusiast,Instagram,#Gaming #Tournament,30,60,USA,2023,Jan,positive
Planning a garden makeover for spring.,Positive,GardenPlanner,Twitter,#Gardening #Spring,25,50,USA,2023,Jan,positive
Celebrating a friend's birthday tonight! 🎂,Positive,BirthdayBash,Facebook,#Birthday #Celebration,15,30,UK,2023,Jan,positive
Feeling accomplished after a productive day.,Positive,ProductivityWin,Instagram,#Accomplished #Success,22,45,India,2023,Jan,positive
A cozy evening with a good movie.,Positive,MovieNight,Twitter,#CozyNight #MovieTime,18,35,Canada,2023,Jan,positive
Exploring local art galleries this weekend.,Positive,ArtExplorer,Facebook,#Art #GalleryExplore,15,30,USA,2023,Jan,positive
New book release from my favorite author!,Positive,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12,25,UK,2023,Jan,positive
Attending a virtual reality meetup.,Positive,VRMeetup,Twitter,#VRMeetup #VirtualReality,28,55,India,2023,Jan,positive
Reflecting on the beauty of nature.,Positive,NatureLover,Facebook,#Nature #Reflection,15,30,Australia,2023,Jan,positive
Cooking a special dinner for loved ones.,Positive,ChefAtHome,Instagram,#Cooking #SpecialDinner,20,40,USA,2023,Jan,positive
Feeling optimistic about the week ahead.,Positive,OptimisticMindset,Twitter,#Optimism #NewWeek,15,30,Canada,2023,Jan,positive
Starting a new fitness challenge tomorrow! 💪,Positive,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22,45,UK,2023,Feb,positive
Sunday bike ride through scenic trails.,Positive,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18,35,USA,2023,Feb,positive
Can't believe the injustice happening in our society.,Anger,SocialJustice,Twitter,#Injustice #Angry,20,40,Canada,2023,Feb,negative
Feeling a sense of fear after watching a thriller movie.,Fear,ThrillerFan,Instagram,#Fear #ThrillerMovie,15,30,USA,2023,Feb,negative
Heartbroken after hearing the news about a natural disaster.,Sadness,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25,50,India,2023,Feb,negative
The state of the world's environment is just disgusting.,Disgust,EcoAwareness,Twitter,#Disgust #Environment,18,35,UK,2023,Feb,negative
Pure happiness: celebrating a loved one's achievement!,Happiness,ProudFriend,Instagram,#Happiness #Celebration,30,60,USA,2023,Feb,positive
Laughter is the best medicine—enjoying a comedy show.,Joy,ComedyFan,Facebook,#Joy #ComedyShow,22,45,Canada,2023,Feb,positive
Sharing love and positive vibes with everyone! ❤️,Love,LoveSpreader,Twitter,#Love #SpreadLove,15,30,Australia,2023,Feb,positive
An amusing incident brightened up my day!,Amusement,AmusedSoul,Instagram,#Amusement #FunTimes,18,35,UK,2023,Feb,positive
Enjoying a quiet evening with a book and some tea.,Enjoyment,BookLoverAgain,Facebook,#Enjoyment #BookTime,25,50,Canada,2023,Feb,positive
Admiring the beauty of nature during a peaceful hike.,Admiration,NatureAdmirer,Twitter,#Admiration #Nature,20,40,USA,2023,Feb,positive
Sending affectionate vibes to all my followers!,Affection,AffectionSender,Instagram,#Affection #PositiveVibes,15,30,USA,2023,Feb,positive
Experiencing awe at the breathtaking sunset.,Awe,AweStruck,Facebook,#Awe #Breathtaking,22,45,Australia,2023,Feb,positive
Disappointed with the service at a local restaurant.,Disappointed,FoodieGoneWrong,Twitter,#Disappointed #BadService,18,35,India,2023,Feb,negative
A surprise gift from a friend made my day!,Surprise,HappySurprise,Instagram,#Surprise #Gift,25,50,USA,2023,Feb,neutral
Finding acceptance in the midst of life's challenges.,Acceptance,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15,30,Canada,2023,Feb,neutral
Overflowing with adoration for my adorable pet! 🐾,Adoration,PetAdorer,Twitter,#Adoration #PetLove,22,45,UK,2023,Feb,neutral
Anticipating a thrilling adventure in the coming weeks.,Anticipation,AdventureAwaits,Instagram,#Anticipation #Adventure,20,40,USA,2023,Feb,neutral
A bitter experience turned into a valuable lesson.,Bitter,LearnFromBitter,Facebook,#BitterLesson #Growth,18,35,USA,2023,Feb,neutral
Finding calmness in the midst of a busy day.,Calmness,ZenMaster,Twitter,#Calmness #PeacefulMind,15,30,India,2023,Feb,neutral
Confusion clouds my mind as I navigate through decisions.,Confusion,ConfusedMind,Instagram,#Confusion #DecisionMaking,25,50,UK,2023,Feb,neutral
Excitement building up for the upcoming vacation!,Excitement,VacationDreamer,Facebook,#Excitement #TravelPlans,22,45,Canada,2023,Feb,positive
Kindness witnessed today restored my faith in humanity.,Kind,KindnessPrevails,Twitter,#Kindness #Humanity,20,40,USA,2023,Feb,positive
Pride in achieving a personal milestone.,Pride,PersonalAchiever,Instagram,#Pride #Milestone,30,60,Australia,2023,Feb,positive
A moment of shame for not standing up against injustice.,Shame,ReflectiveSelf,Facebook,#Shame #Injustice,15,30,India,2023,Feb,neutral
Fuming with anger after a heated argument.,Anger,AngryDebater,Twitter,#Anger #Argument,20,40,Canada,2023,Feb,negative
The fear of the unknown is keeping me up at night.,Fear,FearfulDreamer,Instagram,#Fear #Unknown,15,30,USA,2023,Feb,negative
Heartfelt sadness after bidding farewell to a dear friend.,Sadness,FarewellHeart,Facebook,#Sadness #Farewell,25,50,India,2023,Feb,negative
The state of corruption in our society is utterly disgusting.,Disgust,AntiCorruption,Twitter,#Disgust #Corruption,18,35,UK,2023,Feb,negative
Overflowing happiness: welcoming a new family member!,Happiness,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30,60,UK,2023,Feb,positive
Laughter is the key to joy—attending a stand-up comedy show.,Joy,StandUpFan,Facebook,#Joy #StandUpComedy,22,45,Canada,2023,Feb,positive
Sending love to all my followers on this beautiful day! ❤️,Love,LoveSender,Twitter,#Love #SpreadLove,15,30,Australia,2023,Feb,positive
Amused by the antics of my pet—it's pure amusement!,Amusement,PetAmuser,Instagram,#Amusement #PetAntics,18,35,UK,2023,Feb,positive
Enjoying every moment of this trip—pure enjoyment!,Enjoyment,TravelExplorer,Facebook,#Enjoyment #Travel,25,50,USA,2023,Feb,positive
Admiring the dedication of volunteers at a local charity.,Admiration,CharityAdmirer,Twitter,#Admiration #Volunteers,20,40,USA,2023,Feb,positive
Sending affectionate vibes to friends and family.,Affection,FamilyLover,Instagram,#Affection #FamilyLove,15,30,USA,2023,Feb,positive
Awe-struck by the beauty of the night sky.,Awe,Stargazer,Facebook,#Awe #StarryNight,22,45,Australia,2023,Feb,positive
Disappointed with the lack of progress in a personal project.,Disappointed,ProjectStruggle,Twitter,#Disappointed #Project,18,35,India,2023,Feb,negative
A surprise visit from an old friend brought tears of joy.,Surprise,JoyfulReunion,Instagram,#Surprise #OldFriends,25,50,USA,2023,Feb,neutral
Embracing acceptance of life's ups and downs.,Acceptance,LifeAcceptance,Facebook,#Acceptance #LifeJourney,15,30,Canada,2023,Feb,neutral
Overflowing adoration for a cute rescue puppy! 🐶,Adoration,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22,45,UK,2023,Feb,neutral
Anticipating the release of a much-awaited movie.,Anticipation,MovieBuff2,Instagram,#Anticipation #MovieRelease,20,40,Australia,2023,Feb,neutral
Bitter experience at the customer service department.,Bitter,CustomerWoes,Facebook,#BitterExperience #CustomerService,18,35,USA,2023,Feb,neutral
Finding calmness amidst the chaos of daily life.,Calmness,CalmSoul,Twitter,#Calmness #InnerPeace,15,30,India,2023,Feb,neutral
Confusion reigns as I try to make sense of recent events.,Confusion,ConfusedMind2,Instagram,#Confusion #MakingSense,25,50,UK,2023,Feb,neutral
Excitement building up for a surprise birthday party.,Excitement,BirthdayExcite,Facebook,#Excitement #SurpriseParty,22,45,Canada,2023,Feb,positive
Witnessed an act of kindness that made my day.,Kind,KindnessObserver,Twitter,#Kindness #ActsOfKindness,20,40,USA,2023,Feb,positive
Pride in completing a challenging fitness challenge.,Pride,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30,60,UK,2023,Feb,positive
A moment of shame for not speaking up against injustice.,Shame,ReflectiveSelf2,Facebook,#Shame #Injustice,15,30,India,2023,Feb,neutral
Reflecting on the beauty of diversity in our world.,Acceptance,DiversityLover,Twitter,#Acceptance #Diversity,22,45,Australia,2023,Mar,neutral
Excitement for a quiet evening with a good book.,Excitement,BookwormJoy,Instagram,#Excitement #BookTime,18,35,USA,2023,Mar,positive
Feeling bitter about the unfairness in the workplace.,Bitter,WorkplaceWoes,Twitter,#Bitter #Unfairness,15,30,Canada,2023,Mar,neutral
Calmness prevails as I practice mindfulness.,Calmness,MindfulMe,Facebook,#Calmness #Mindfulness,15,30,UK,2023,Mar,neutral
Confusion surrounds me as I navigate through life's choices.,Confusion,ConfusedMind3,Instagram,#Confusion #LifeChoices,30,60,USA,2023,Mar,neutral
Excitement for a weekend road trip to explore new places.,Excitement,RoadTripper2,Twitter,#Excitement #WeekendAdventure,25,50,India,2023,Mar,positive
Kindness witnessed today restores my faith in humanity.,Kind,KindnessPrevails2,Facebook,#Kindness #HumanityRestored,22,45,USA,2023,Mar,positive
Pride in accomplishing personal and professional goals.,Pride,GoalAchiever,Instagram,#Pride #Accomplishments,12,25,Canada,2023,Mar,positive
Shame for not being true to my values in a difficult situation.,Shame,ReflectiveSelf3,Twitter,#Shame #Integrity,15,30,UK,2023,Mar,neutral
"Revisiting old memories, feeling a sense of elation.",Elation,NostalgiaFan,Twitter,#Elation #Memories,20,40,Canada,2010,May,positive
The victory of our team brought euphoria to the city.,Euphoria,SportsFanatic,Instagram,#Euphoria #Victory,15,30,USA,2021,Aug,positive
"Embracing the beauty of nature, a moment of contentment.",Contentment,NatureLover2,Facebook,#Contentment #Nature,25,50,India,2011,Jun,positive
"Meditating by the serene lake, finding inner peace.",Serenity,ZenMaster2,Twitter,#Serenity #Meditation,18,35,UK,2022,Feb,positive
Overflowing with gratitude for life's blessings.,Gratitude,ThankfulHeart,Instagram,#Gratitude #Blessed,30,60,Australia,2012,Nov,positive
"Hopeful for a brighter tomorrow, despite challenges.",Hope,OptimisticSoul,Facebook,#Hope #Optimism,22,45,USA,2013,Apr,positive
Empowered to make a difference in my community.,Empowerment,CommunityLeader,Twitter,#Empowerment #Community,15,30,UK,2014,Sept,positive
Compassion in action: supporting a local charity event.,Compassion,CharitySupporter,Instagram,#Compassion #CharityEvent,18,35,Canada,2015,Jul,neutral
"A moment of tenderness, connecting with loved ones.",Tenderness,LovingHeart,Facebook,#Tenderness #FamilyTime,25,50,UK,2016,Feb,neutral
Arousal of excitement as I await a special announcement.,Arousal,ExcitementFan,Twitter,#Arousal #Excitement,20,40,Australia,2017,Oct,neutral
Enthusiastically diving into a new project.,Enthusiasm,ProjectEnthusiast,Instagram,#Enthusiasm #NewProject,15,30,USA,2018,Jun,positive
Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,MilestoneAchiever,Facebook,#Fulfillment #Milestone,22,45,India,2019,Mar,neutral
Reverence for the beauty of a historic landmark.,Reverence,HistoryLover,Twitter,#Reverence #History,18,35,UK,2019,Nov,neutral
Elation after a surprise reunion with old friends.,Elation,JoyfulReunion2,Instagram,#Elation #OldFriends,25,50,Canada,2020,Apr,positive
The euphoria of a live music concert under the stars.,Euphoria,MusicEnthusiast,Facebook,#Euphoria #LiveMusic,15,30,USA,2021,Jun,positive
Contentment in the simplicity of a quiet Sunday.,Contentment,SimpleJoys,Twitter,#Contentment #SundayMood,30,60,Australia,2010,Aug,positive
Serenity found in the pages of a favorite book.,Serenity,BookLover3,Instagram,#Serenity #BookTime,22,45,UK,2011,Sept,positive
Gratitude for the support received during tough times.,Gratitude,SupportiveFriend,Facebook,#Gratitude #Supportive,15,30,India,2012,Mar,positive
Hopeful about the possibilities of a new journey.,Hope,JourneyOptimist,Twitter,#Hope #NewBeginnings,18,35,Canada,2013,Dec,positive
Empowerment through learning and personal growth.,Empowerment,GrowthSeeker,Instagram,#Empowerment #PersonalGrowth,25,50,USA,2014,Jul,positive
Compassion towards those in need during the holidays.,Compassion,HolidayHelper,Facebook,#Compassion #HolidaySupport,18,35,USA,2015,Dec,neutral
Tenderness in the warmth of a cozy winter evening.,Tenderness,WinterWarmth,Twitter,#Tenderness #CozyEvening,25,50,UK,2016,Feb,neutral
Arousal of excitement for an upcoming adventure.,Arousal,AdventureAwaits,Instagram,#Arousal #AdventureTime,20,40,Australia,2017,Apr,neutral
Enthusiasm for a creative project in the making.,Enthusiasm,CreativeSpirit,Facebook,#Enthusiasm #Creativity,15,30,Canada,2018,Sept,positive
Fulfillment in completing a challenging workout routine.,Fulfillment,FitnessAchiever,Twitter,#Fulfillment #FitnessGoals,22,45,India,2019,Jun,neutral
Reverence for the artistry displayed in a museum.,Reverence,ArtAppreciator,Instagram,#Reverence #ArtAppreciation,18,35,UK,2020,Nov,neutral
Elation after achieving a personal goal.,Elation,GoalAchiever2,Facebook,#Elation #PersonalAchievement,25,50,USA,2021,Mar,positive
Elation over discovering a hidden gem in the city.,Elation,UrbanExplorer2,Twitter,#Elation #HiddenGem,20,40,USA,2012,Feb,positive
The euphoria of a surprise birthday celebration.,Euphoria,BirthdayJoy,Instagram,#Euphoria #BirthdaySurprise,15,30,UK,2018,Nov,positive
Contentment in the simplicity of a home-cooked meal.,Contentment,HomeChef,Facebook,#Contentment #HomeCooking,25,50,India,2015,Sept,positive
Serenity found in the melody of a peaceful piano.,Serenity,MusicLover4,Twitter,#Serenity #PeacefulMelody,18,35,Canada,2016,Jul,positive
Gratitude for the supportive community around me.,Gratitude,CommunityLove,Instagram,#Gratitude #CommunitySupport,30,60,USA,2013,Apr,positive
Hopeful about the prospects of a new business venture.,Hope,EntrepreneurHope,Facebook,#Hope #BusinessVenture,22,45,Canada,2017,Dec,positive
Empowerment through mentoring and guiding others.,Empowerment,MentorEmpower,Twitter,#Empowerment #Mentorship,15,30,UK,2014,Jun,positive
Compassion shown through acts of kindness in the community.,Compassion,KindnessInAction,Instagram,#Compassion #CommunityKindness,18,35,Australia,2019,Jan,neutral
Tenderness in a heartfelt message to a loved one.,Tenderness,LoveExpress,Facebook,#Tenderness #LoveNote,25,50,UK,2016,Dec,neutral
Arousal of excitement before a much-awaited trip.,Arousal,TravelExcitement,Twitter,#Arousal #TravelAdventure,20,40,India,2018,Mar,neutral
Enthusiasm for a new artistic project in the works.,Enthusiasm,ArtisticSpirit,Instagram,#Enthusiasm #ArtisticProject,15,30,USA,2020,Sept,positive
Feeling a sense of fulfillment after helping others.,Fulfillment,HelperHeart,Facebook,#Fulfillment #HelpingOthers,22,45,Canada,2011,Aug,neutral
Reverence for the historical significance of a landmark.,Reverence,HistoryBuff,Twitter,#Reverence #HistoricalSite,18,35,Australia,2017,Nov,neutral
Elation after achieving a fitness milestone.,Elation,FitnessAchiever2,Instagram,#Elation #FitnessMilestone,25,50,UK,2019,Jun,positive
The euphoria of a successful product launch.,Euphoria,ProductLaunchJoy,Facebook,#Euphoria #ProductLaunchSuccess,15,30,USA,2022,Apr,positive
Contentment in the embrace of a loved one.,Contentment,LovingEmbrace,Twitter,#Contentment #Love,30,60,India,2010,Nov,positive
Serenity found in the beauty of a sunset by the sea.,Serenity,SunsetWatcher2,Instagram,#Serenity #SunsetViews,22,45,Canada,2011,Jul,positive
Gratitude for the small joys that each day brings.,Gratitude,JoyfulHeart2,Facebook,#Gratitude #SmallJoys,15,30,Australia,2012,Mar,positive
Hopeful about the potential for personal growth.,Hope,GrowthOptimist,Twitter,#Hope #PersonalDevelopment,18,35,UK,2013,Oct,positive
Empowerment through learning a new skill.,Empowerment,SkillEmpower,Instagram,#Empowerment #SkillBuilding,25,50,India,2014,Jul,positive
Compassion in volunteering for a local charity.,Compassion,CharityVolunteer,Facebook,#Compassion #VolunteerWork,18,35,USA,2015,Dec,neutral
Tenderness in a quiet moment shared with a pet.,Tenderness,PetLove,Twitter,#Tenderness #PetLove,25,50,Canada,2016,Feb,neutral
Arousal of excitement for an upcoming festival.,Arousal,FestivalFan,Instagram,#Arousal #FestivalExcitement,20,40,UK,2017,Sept,neutral
Enthusiasm for a DIY home improvement project.,Enthusiasm,DIYEnthusiast,Facebook,#Enthusiasm #HomeImprovement,15,30,Australia,2018,Apr,positive
Fulfillment in completing a challenging puzzle.,Fulfillment,PuzzleMaster,Twitter,#Fulfillment #PuzzleChallenge,22,45,India,2019,Nov,neutral
Reverence for the wonders of nature on a hiking trail.,Reverence,NatureAdmirer,Instagram,#Reverence #NatureExploration,18,35,USA,2020,May,neutral
Elation after a surprise reunion with a childhood friend.,Elation,ChildhoodJoy,Facebook,#Elation #FriendshipReunion,25,50,Canada,2021,Feb,positive
Suffering from despair after another setback.,Despair,StrugglingSoul,Twitter,#Despair #Struggle,5,10,USA,2021,Mar,negative
"Overwhelmed by grief, missing a loved one dearly.",Grief,MourningHeart,Instagram,#Grief #Loss,8,15,Canada,2022,Jul,negative
Loneliness creeps in as the night grows colder.,Loneliness,SolitarySoul,Facebook,#Loneliness #Isolation,10,20,UK,2019,Nov,negative
Jealousy consumes me as I witness others' success.,Jealousy,EnviousObserver,Twitter,#Jealousy #Envy,12,25,India,2020,Aug,negative
Resentment building up over past betrayals.,Resentment,BitterHeart,Instagram,#Resentment #Bitterness,7,15,Australia,2018,May,negative
Frustration mounts as obstacles block my path.,Frustration,BlockedGoals,Facebook,#Frustration #Obstacles,10,20,USA,2017,Jan,negative
"Boredom sets in, the day feels endlessly dull.",Boredom,BoredMind,Twitter,#Boredom #LackOfInterest,8,15,Canada,2016,Sept,negative
"Anxiety grips my heart, worry clouds my thoughts.",Anxiety,WorriedMind,Instagram,#Anxiety #Worry,12,25,UK,2019,Apr,neutral
Intimidation by the unknown future ahead.,Intimidation,FearfulSoul,Facebook,#Intimidation #Fear,15,30,India,2021,Dec,neutral
Helplessness sinks in as challenges pile up.,Helplessness,OverwhelmedHeart,Twitter,#Helplessness #Overwhelmed,8,15,Australia,2020,Jun,neutral
Envy eats away at me as I see others' prosperity.,Envy,CovetousMind,Instagram,#Envy #Desire,10,20,Canada,2018,Nov,negative
Regret over missed opportunities haunts my thoughts.,Regret,RemorsefulSoul,Facebook,#Regret #MissedChances,12,25,UK,2017,Aug,negative
Disgust at the sight of injustice and cruelty.,Disgust,DisgustedHeart,Twitter,#Disgust #Injustice,7,15,India,2019,Feb,negative
"Drowning in despair, hope slipping through my fingers.",Despair,HopelessHeart,Instagram,#Despair #Hopeless,10,20,USA,2016,Apr,negative
"Grief weighs heavy, tears a constant companion.",Grief,TearfulSoul,Facebook,#Grief #Tears,12,25,Canada,2015,Oct,negative
"Loneliness in a crowded room, a silent cry for connection.",Loneliness,IsolatedMind,Twitter,#Loneliness #SeekingConnection,15,30,UK,2019,Jul,negative
"Jealousy gnaws at my confidence, a toxic emotion.",Jealousy,SelfDoubt,Instagram,#Jealousy #Insecurity,8,15,India,2018,Jun,negative
"Resentment festers, poisoning relationships.",Resentment,BrokenTrust,Facebook,#Resentment #BrokenTrust,10,20,Australia,2022,Jan,negative
"Frustration boils over, a volcanic eruption of emotions.",Frustration,ExplosiveMind,Twitter,#Frustration #EmotionalOutburst,12,25,USA,2017,Apr,negative
"Boredom settles like dust, life feels mundane.",Boredom,MundaneHeart,Instagram,#Boredom #Monotony,7,15,Canada,2016,Nov,negative
"Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,RestlessMind,Facebook,#Anxiety #Restlessness,10,20,UK,2018,Sept,neutral
"Intimidation by the challenges ahead, fear takes hold.",Intimidation,FearfulJourney,Twitter,#Intimidation #FacingFear,15,30,India,2021,Oct,neutral
"Helplessness engulfs me, drowning in a sea of problems.",Helplessness,OverwhelmedSoul,Instagram,#Helplessness #Struggling,8,15,Australia,2019,May,neutral
"Envy poisons my thoughts, coveting others' success.",Envy,GreenEyedMonster,Facebook,#Envy #Success,10,20,Canada,2017,Mar,negative
Regret for decisions that led to a painful present.,Regret,RegretfulMind,Twitter,#Regret #PastChoices,12,25,USA,2018,Dec,negative
Disgust at the corruption that stains society.,Disgust,CorruptedHeart,Instagram,#Disgust #Corruption,7,15,UK,2016,Jul,negative
"Sinking in despair, each day darker than the last.",Despair,DrowningSoul,Facebook,#Despair #DarkDays,10,20,India,2020,Aug,negative
"Grief overwhelms, a storm of emotions within.",Grief,StormyHeart,Twitter,#Grief #EmotionalStorm,12,25,Canada,2021,Feb,negative
"Loneliness echoes in empty spaces, yearning for connection.",Loneliness,EchoingSoul,Instagram,#Loneliness #YearningForConnection,15,30,Australia,2019,Sept,negative
"Jealousy poisons my thoughts, resentment brewing within.",Jealousy,PoisonedMind,Facebook,#Jealousy #Resentment,8,15,USA,2018,Aug,negative
"Resentment festers, a wound that refuses to heal.",Resentment,UnforgivingSoul,Twitter,#Resentment #Unforgiving,10,20,India,2017,Jan,negative
"Frustration escalates, a thunderstorm of emotions.",Frustration,ThunderingMind,Instagram,#Frustration #EmotionalOutburst,12,25,UK,2022,Apr,negative
"Boredom lingers, a stagnant pool of indifference.",Boredom,StagnantHeart,Facebook,#Boredom #Stagnation,7,15,Canada,2021,Oct,negative
"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",Curiosity,InquisitiveMind,Twitter,#Curiosity #Learning,15,30,USA,2023,Apr,positive
"Lost in the vast sea of information, an indifferent wave in the digital ocean.",Indifference,ApatheticObserver,Instagram,#Indifference #DigitalOverload,7,15,Canada,2022,Nov,neutral
"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",Confusion,SeekingClarity,Facebook,#Confusion #LifePuzzle,10,20,UK,2020,Apr,neutral
"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",Numbness,EmotionallyDistant,Twitter,#Numbness #EmotionalShield,8,15,India,2021,Aug,negative
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",Melancholy,SunsetDreamer,Instagram,#Melancholy #SunsetMoments,12,25,Australia,2019,Jun,neutral
"Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony.",Nostalgia,MemoryLaneTraveler,Facebook,#Nostalgia #MemoryLane,10,20,USA,2018,Feb,neutral
"Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty.",Ambivalence,MixedFeelings,Twitter,#Ambivalence #UncertainChoices,12,25,Canada,2022,May,neutral
"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",Acceptance,ZenLifestyle,Instagram,#Acceptance #LifeJourney,15,30,UK,2023,Jan,neutral
"Facing challenges head-on, a determination that fuels the fire within to achieve the impossible.",Determination,ResilientSpirit,Facebook,#Determination #AchieveTheImpossible,10,20,India,2020,Sept,neutral
"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",Serenity,NatureSoul,Twitter,#Serenity #NatureRetreat,12,25,Australia,2021,Jul,positive
"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",Curiosity,EternalLearner,Instagram,#Curiosity #KnowledgeQuest,20,40,USA,2022,Oct,positive
"Floating through the day with an air of indifference, detached from the mundane happenings around.",Indifference,AloofObserver,Facebook,#Indifference #FloatingThroughLife,10,20,Canada,2023,Mar,neutral
